Genes	description
Gm24834	NA
Ighv1-2	immunoglobulin heavy variable 1-2
Gm20443	predicted gene 20443
Gm12389	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 pseudogene
Gm5166	DMRT-like family pseudogene
Olfr772	NA
Smpd1	sphingomyelin phosphodiesterase 1, acid lysosomal
Gm15213	NA
Mnda	NA
Lcor	ligand dependent nuclear receptor corepressor
Ryr3	ryanodine receptor 3
Plau	plasminogen activator, urokinase
Eva1c	eva-1 homolog C
Gm17473	predicted gene, 17473
Gm11466	predicted gene 11466
Gm25987	predicted gene, 25987
Cd96	CD96 antigen
Nfe2	nuclear factor, erythroid derived 2
Golgb1	golgin B1
Cbln2	cerebellin 2 precursor protein
Gm17205	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3 pseudogene
Fam188a	NA
Gm15125	histidine-rich glycoprotein-like
Gm22859	NA
Gm5849	predicted gene 5849
Vmn1r3	vomeronasal 1 receptor 3
Gm12836	NA
Wfdc13	WAP four-disulfide core domain 13
Gm16586	NA
Gm24213	NA
Olfr593	NA
Dnaja2	DnaJ heat shock protein family (Hsp40) member A2
Gm14423	NA
Mtl5	NA
Trpa1	transient receptor potential cation channel, subfamily A, member 1
Mir25	microRNA 25
Inhbe	inhibin beta-E
Gm21978	vomeronasal receptor Vmn2r-ps14
Gm3244	NA
Hist1h2ak	NA
Gm6917	NA
Gm22690	NA
Gm26315	NA
Ecm1	extracellular matrix protein 1
Prop1	paired like homeodomain factor 1
Gm13437	heat shock cognate 71 kDa protein-like
Kif24	kinesin family member 24
Gm5634	NA
Fam229b	family with sequence similarity 229, member B
Rps27l	ribosomal protein S27-like
Gm23189	NA
Gm11895	hematological and neurological expressed 1 pseudogene 1
Bhmt	betaine-homocysteine methyltransferase
Bcl2l13	BCL2 like 13
Olfr1182	NA
Nlk	nemo like kinase
Gm12300	NA
U7	NA
Zdhhc6	zinc finger, DHHC domain containing 6
Pgm3	phosphoglucomutase 3
Gm24038	predicted gene, 24038
Dhx32	DEAH-box helicase 32 (putative)
Fbxw11	F-box and WD-40 domain protein 11
Omg	oligodendrocyte myelin glycoprotein
Sftpd	surfactant associated protein D
Cngb1	cyclic nucleotide gated channel beta 1
Gm10258	predicted gene 10258
CAAA01165726.1	NA
4933407L21Rik	RIKEN cDNA 4933407L21 gene
Ppp3r2	protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type II)
D230017M19Rik	RIKEN cDNA D230017M19 gene
Gm26916	NA
Wwc1	WW, C2 and coiled-coil domain containing 1
Gm22481	NA
Gm25552	predicted gene, 25552
Olfr1170	NA
Gm24610	predicted gene, 24610
Nr1h5	nuclear receptor subfamily 1, group H, member 5
Gm24698	predicted gene, 24698
Zdhhc11	zinc finger, DHHC domain containing 11
Gm12663	ubiquitin-like domain containing CTD phosphatase 1 pseudogene
Dlx3	distal-less homeobox 3
Igkv3-4	immunoglobulin kappa variable 3-4
A530040E14Rik	RIKEN cDNA A530040E14 gene
Sult5a1	sulfotransferase family 5A, member 1
Clcf1	cardiotrophin-like cytokine factor 1
Frem2	Fras1 related extracellular matrix protein 2
Rqcd1	NA
A430060F13Rik	RIKEN cDNA A430060F13 gene
Carhsp1	calcium regulated heat stable protein 1
Cd97	NA
Gm8357	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Olfr444	NA
Rsc1a1	regulatory solute carrier protein, family 1, member 1
Spink8	serine peptidase inhibitor, Kazal type 8
Gm12077	predicted gene 12077
Gorasp1	golgi reassembly stacking protein 1
G730046D07Rik	RIKEN cDNA G730046D07 gene
Gm16554	NA
Mmp1a	matrix metallopeptidase 1a (interstitial collagenase)
Rpusd2	RNA pseudouridylate synthase domain containing 2
Igkv1-88	immunoglobulin kappa chain variable 1-88
Gm10754	predicted gene 10754
Serpinh1	serine (or cysteine) peptidase inhibitor, clade H, member 1
Wdr46	WD repeat domain 46
Gm23169	predicted gene, 23169
Gm20921	predicted gene, 20921
Myeov2	NA
Gm22685	predicted gene, 22685
Fzd8	frizzled class receptor 8
Med13	mediator complex subunit 13
9430097D07Rik	RIKEN cDNA 9430097D07 gene
Usp31	ubiquitin specific peptidase 31
3110007F17Rik	NA
Gm12613	ubiquitin-60S ribosomal protein L40 pseudogene
Gm24059	NA
Gm22273	predicted gene, 22273
Dpep3	dipeptidase 3
Gm16066	predicted gene 16066
Gm11210	predicted gene 11210
Casp8ap2	caspase 8 associated protein 2
Fastkd1	FAST kinase domains 1
Xlr5a	X-linked lymphocyte-regulated 5A
Zfp467	zinc finger protein 467
Nkain3	Na+/K+ transporting ATPase interacting 3
Tesk2	testis-specific kinase 2
Olfr1291-ps1	NA
Gm13247	NA
Nlrp12	NLR family, pyrin domain containing 12
Gm13250	ribosomal protein 10 pseudogene
Mir669e	microRNA 669e
Pcna-ps1	proliferating cell nuclear antigen pseudogene 1
Prcp	prolylcarboxypeptidase (angiotensinase C)
Ahnak2	AHNAK nucleoprotein 2
